name,tags,rating
Merging the Sets,"['greedy', 'implementation']",1100.0
Equal Occurrences,"['brute force', 'greedy', 'implementation']",800.0
Cost of Coloring,"['combinatorics', 'divide and conquer', 'dp', 'fft', 'math']",2900.0
Long Journey,"['dfs and similar', 'divide and conquer', 'dp', 'graphs', 'greedy', 'math', 'matrices', 'number theory']",2500.0
Predicting Popularity,"['binary search', 'data structures', 'greedy', 'sortings']",2100.0
Inversion Value of a Permutation,"['constructive algorithms', 'dfs and similar', 'dp']",1800.0
Monocarp's String,"['binary search', 'greedy', 'strings']",1300.0
Deck of Cards,"['greedy', 'implementation']",1000.0
Candies for Nephews,['math'],800.0
Bracket Groups,"['brute force', 'constructive algorithms', 'dp', 'string suffix structures', 'strings']",2700.0
Looking at Towers (difficult version),"['combinatorics', 'data structures', 'dp']",2500.0
Looking at Towers (easy version),"['combinatorics', 'dp']",2200.0
Price Tags,"['brute force', 'dp', 'math']",1800.0
Non-Descending Arrays,"['combinatorics', 'dp', 'math']",1300.0
Maximum Cost Permutation,"['constructive algorithms', 'greedy']",1000.0
Cut the Array,"['brute force', 'constructive algorithms', 'math', 'number theory']",800.0
Increasing Xor,"['bitmasks', 'data structures', 'math']",2700.0
Make Good,"['constructive algorithms', 'greedy', 'math', 'strings']",2400.0
Inversion Graph Coloring (Hard Version),"['binary search', 'combinatorics', 'data structures', 'dp', 'two pointers']",2200.0
Inversion Graph Coloring (Easy Version),"['combinatorics', 'data structures', 'dp', 'greedy', 'two pointers']",1800.0
Max Tree,"['constructive algorithms', 'dfs and similar', 'graphs', 'greedy']",1300.0
Discounts,"['greedy', 'sortings', 'two pointers']",1000.0
All Lengths Subtraction,"['brute force', 'two pointers']",800.0
Color the Tree,['*special'],3500.0
Merging Vertices in a Graph,"['*special', 'dfs and similar', 'dsu', 'graphs']",2700.0
Good Robot Paths,"['*special', 'data structures', 'geometry', 'sortings']",2800.0
Array Reduction,"['*special', 'greedy']",2200.0
Perfect Cut,"['*special', 'dp', 'greedy']",2100.0
Avoid Minimums,"['*special', 'greedy', 'math']",1800.0
Minimum on Subarrays,"['*special', 'brute force']",1800.0
Games,"['*special', 'greedy']",1200.0
Furniture Store,"['*special', 'implementation']",800.0
Sum Minimisation,['number theory'],2900.0
Prime Gaming (Hard Version),"['bitmasks', 'combinatorics', 'dp', 'probabilities']",2500.0
Prime Gaming (Easy Version),"['bitmasks', 'combinatorics', 'dp']",2200.0
A Cruel Segment's Thesis,"['data structures', 'greedy', 'sortings']",2000.0
Ultimate Value,"['data structures', 'games', 'greedy']",1500.0
Another Divisibility Problem,"['constructive algorithms', 'math', 'number theory']",900.0
Shift Sort,"['greedy', 'sortings']",800.0
Cake Collection,['greedy'],800.0
Maple and Multiplication,"['greedy', 'math']",800.0
Ode to the Bridge Builder,"['constructive algorithms', 'geometry']",3500.0
Determinant Construction (Hard Version),"['brute force', 'constructive algorithms', 'math', 'matrices', 'number theory']",3100.0
Determinant Construction (Easy Version),"['brute force', 'constructive algorithms', 'math', 'matrices', 'number theory']",3100.0
Antiamuny and Slider Movement,"['brute force', 'combinatorics', 'implementation', 'math', 'sortings']",2600.0
Maple and Tree Beauty (Hard Version),"['bitmasks', 'brute force', 'dfs and similar', 'dp', 'fft', 'trees']",2000.0
Maple and Tree Beauty (Easy Version),"['brute force', 'dfs and similar', 'dp', 'graphs', 'trees']",1800.0
Antiamuny Wants to Learn Swap,"['data structures', 'greedy', 'two pointers']",1900.0
